fishname,fs,fishdate,day_temp,time_flow,time_react,tdiff,info,info_other,direction,stable10prev,change10,stable10after,FL,fishtype,loc_name,loc_x,loc_y,Unnamed: 3,flocs,fdist,stable10prev_v,stable10next_v,change10_v,change5,change5_v,change1,asfractprev5,asfractprev10,tsec,abs1,abs5,abs10,fsdir,success,absstable10,absstable10_v,fdistcm
indoorfarmed18,old,05/08/2019,16.1,19:14:42,-,nan,error,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed19,old,06/08/2019,15.8,09:45:58,-,nan,unstable,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed20,old,06/08/2019,15.8,10:17:33,10:18:39,00:01:06,dir_change,,counter,-15,6,10,20.7,farmed_in,,,,,,,,,,,,,,-0.4,66,,,6,old_counter,yes,15,,
indoorfarmed21,old,06/08/2019,15.8,10:48:25,10:50:48,00:02:23,dir_change,,clock,6,-8,-8,20.7,farmed_in,,,,,,,,,,,,,,-1.33333333333333,143,,,8,old_clock,yes,6,,
indoorfarmed22,old,06/08/2019,15.8,11:18:51,11:20:06,00:01:15,swim_off,,counter,-15,6,8,20.7,farmed_in,,,,,,,,,,,,,,-0.4,75,,,6,old_counter,dk,15,,
indoorfarmed23,old,06/08/2019,15.8,11:55:59,11:59:05,00:03:06,dir_change,,clock,6,-8,-8,20.7,farmed_in,,,,,,,,,,,,,,-1.33333333333333,186,,,8,old_clock,yes,6,,
indoorfarmed24,old,06/08/2019,15.8,12:35:59,12:40:01,00:04:02,swim_off,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,242,,,,old_counter,dk,,,
indoorfarmed25,old,06/08/2019,15.8,13:12:37,13:14:20,00:01:43,dir_change,,clock,10,-13,-13,20.7,farmed_in,,,,,,,,,,,,,,-1.3,103,,,13,old_clock,yes,10,,
indoorfarmed26,old,06/08/2019,15.8,13:49:25,-,nan,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed27,old,06/08/2019,15.8,14:57:18,14:58:59,00:01:41,swim_off,,clock,6,-8,-8,20.7,farmed_in,,,,,,,,,,,,,,-1.33333333333333,101,,,8,old_clock,dk,6,,
indoorfarmed28,old,06/08/2019,15.8,15:32:37,-,nan,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,dk,,,
indoorfarmed29,old,06/08/2019,15.8,16:08:50,-,nan,no_reaction,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,no,,,
indoorfarmed30,old,06/08/2019,15.8,16:44:20,16:44:40,00:00:20,unstable,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,20,,,,old_counter,dk,,,
indoorfarmed31,old,06/08/2019,15.8,17:21:28,17:23:39,00:02:11,swim_off,,clock,6,-8,-7,20.7,farmed_in,,,,,,,,,,,,,,-1.33333333333333,131,,,8,old_clock,dk,6,,
indoorfarmed32,old,06/08/2019,15.8,17:59:03,18:03:24,00:04:21,dir_change,,counter,-8,10,9,20.7,farmed_in,,,,,,,,,,,,,,-1.25,261,,,10,old_counter,yes,8,,
indoorfarmed33,old,06/08/2019,15.8,18:42:50,18:43:52,00:01:02,dir_change,,clock,14,-6,-9,20.7,farmed_in,,,,,,,,,,,,,,-0.428571428571429,62,,,6,old_clock,yes,14,,
indoorfarmed34,old,06/08/2019,15.8,20:21:52,20:25:45,00:03:53,dir_change,,counter,-8,8,9,20.7,farmed_in,,,,,,,,,,,,,,-1,233,,,8,old_counter,yes,8,,
indoorfarmed35,old,06/08/2019,15.8,20:55:31,20:56:36,00:01:05,dir_change,,clock,9,-8,-14,20.7,farmed_in,,,,,,,,,,,,,,-0.888888888888889,65,,,8,old_clock,yes,9,,
indoorfarmed36,old,06/08/2019,15.8,21:24:43,21:27:28,00:02:45,dir_change,,counter,-16,10,9,20.7,farmed_in,,,,,,,,,,,,,,-0.625,165,,,10,old_counter,yes,16,,
indoorfarmed37,old,06/08/2019,15.8,21:52:07,21:53:43,00:01:36,dir_change,,clock,7,-7,-7,20.7,farmed_in,,,,,,,,,,,,,,-1,96,,,7,old_clock,yes,7,,
indoorfarmed38,old,12/09/2019,13.8,15:28:03,15:29:44,00:01:41,dir_change,,counter,-9,5,6,20.7,farmed_in,,,,,,,,,,,,,,-0.555555555555556,101,,,5,old_counter,yes,9,,
indoorfarmed39,old,12/09/2019,13.8,15:58:28,-,nan,unstable,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,dk,,,
indoorfarmed40,old,12/09/2019,13.8,16:25:41,-,nan,no_reaction,,counter,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_counter,no,,,
indoorfarmed41,old,12/09/2019,13.8,16:56:10,16:58:09,00:01:59,swim_off,,clock,7,8,-8,20.7,farmed_in,,,,,,,,,,,,,,1.14285714285714,119,,,8,old_clock,dk,7,,
indoorfarmed42,old,12/09/2019,13.8,17:30:29,17:32:28,00:01:59,dir_change,,counter,-15,10,11,20.7,farmed_in,,,,,,,,,,,,,,-0.666666666666667,119,,,10,old_counter,yes,15,,
indoorfarmed43,old,12/09/2019,13.8,18:00:18,18:01:24,00:01:06,dir_change,,clock,7,5,-20,20.7,farmed_in,,,,,,,,,,,,,,0.714285714285714,66,,,5,old_clock,yes,7,,
indoorfarmed44,old,13/09/2019,13.6,12:24:25,12:25:49,00:01:24,dir_change,,clock,7,3,-20,20.7,farmed_in,,,,,,,,,,,,,,0.428571428571429,84,,,3,old_clock,yes,7,,
indoorfarmed45,old,13/09/2019,13.6,12:53:48,12:54:25,00:00:37,swim_off,,counter,-15,1,11,20.7,farmed_in,,,,,,,,,,,,,,-0.0666666666666667,37,,,1,old_counter,dk,15,,
indoorfarmed46,old,13/09/2019,13.6,13:21:34,13:21:59,00:00:25,dir_change,,clock,9,2,-13,20.7,farmed_in,,,,,,,,,,,,,,0.222222222222222,25,,,2,old_clock,yes,9,,
indoorfarmed47,old,13/09/2019,13.6,13:53:32,13:54:55,00:01:23,swim_off,,counter,-15,7,7,20.7,farmed_in,,,,,,,,,,,,,,-0.466666666666667,83,,,7,old_counter,dk,15,,
indoorfarmed48,old,13/09/2019,13.6,14:22:13,14:23:25,00:01:12,dir_change,,clock,7,-8,-20,20.7,farmed_in,,,,,,,,,,,,,,-1.14285714285714,72,,,8,old_clock,yes,7,,
indoorfarmed49,old,13/09/2019,13.6,14:51:30,14:52:12,00:00:42,swim_off,,counter,-9,1,6,20.7,farmed_in,,,,,,,,,,,,,,-0.111111111111111,42,,,1,old_counter,dk,9,,
indoorfarmed50,old,13/09/2019,13.6,15:19:28,15:21:13,00:01:45,dir_change,,clock,8,-16,-15,20.7,farmed_in,,,,,,,,,,,,,,-2,105,,,16,old_clock,yes,8,,
indoorfarmed51,old,13/09/2019,13.6,15:50:51,15:51:30,00:00:39,swim_off,,counter,-9,1,6,20.7,farmed_in,,,,,,,,,,,,,,-0.111111111111111,39,,,1,old_counter,dk,9,,
indoorfarmed52,old,13/09/2019,13.6,16:00:46,-,nan,no_reaction,,clock,,,,20.7,farmed_in,,,,,,,,,,,,,,,,,,,old_clock,no,,,
fish56,low,13/03/2021,6.6,14:22:15,14:23:47,00:01:32,dir_change,,counter,-3.75,10.4,11.7,16,farmed_loch,fish56,2.52204660952252,0.101444612035605,,w,0.125581895544795,0.353553390593274,1.22927259430572,0.966091783079296,10.8,0.447213595499958,10.8,-2.88,-2.77333333333333,92,10.8,10.8,10.4,low_counter,yes,3.75,0.353553390593274,7.53491373268773
fish57,low,13/03/2021,6.0,14:50:40,14:51:15,00:00:35,dir_change,,clock,-9.7,5.7,11.55,16,farmed_loch,fish57,2.18142893484071,0.228676873300633,,y,0.17387502033601,1.05934990547138,1.30064086767511,2.31180545125329,5.8,2.68328157299975,5.8,-0.597938144329897,-0.587628865979381,35,5.8,5.8,5.7,low_clock,yes,9.7,1.05934990547138,10.4325012201606
fish61,low,13/03/2021,6.0,16:41:06,16:44:40,00:03:34,dir_change,,clock,5.15,-7,-7,16,farmed_loch,fish61,1.95434837471887,0.97207776521434,,r,0.202394401808349,1.41519531435692,0.235702260395516,0.235702260395516,-7,0.235702260395516,-7,-1.35922330097087,-1.35922330097087,214,7,7,7,low_clock,yes,5.15,1.41519531435692,12.1436641085009
fish62,low,13/03/2021,6.0,17:08:55,17:11:43,00:02:48,dir_change,,counter,6.8,6.7,6.7,16,farmed_loch,fish62,2.50636370210507,0.922985432668539,,t,0.0947708777613289,0.632455532033676,0.483045891539648,0.483045891539648,6.7,0.483045891539648,6.7,0.985294117647059,0.985294117647059,168,6.7,6.7,6.7,low_counter,yes,6.8,0.632455532033676,5.68625266567974
fish63,low,13/03/2021,6.0,17:36:25,17:36:55,00:00:30,dir_change,,clock,15.7,0.5,-10.55,16,farmed_loch,fish63,0.18615015192431,0.106918372770668,,b,0.0672149027563338,5.53875236653326,0.724568837309472,0.97182531580755,0.2,0.447213595499958,0.2,0.0127388535031847,0.0318471337579618,30,0.2,0.2,0.5,low_clock,yes,15.7,5.53875236653326,4.03289416538003
fish65,low,13/03/2021,6.0,18:37:44,18:39:14,00:01:30,dir_change,,clock,4.3,-8.5,-8.1,16,farmed_loch,fish65,0.497403279144804,0.945589302341827,,f,0.128950955591346,0.948683298050514,0.843274042711568,1.17851130197758,-7.6,0.547722557505166,-7.6,-1.76744186046512,-1.97674418604651,90,7.6,7.6,8.5,low_clock,yes,4.3,0.948683298050514,7.73705733548078
fish76,low,25/03/2021,6.6,14:57:32,14:58:23,00:00:51,dir_change,stable,counter,11.75,-4.75,-0.7,16,farmed_loch,fish76,2.44883544981635,0.0925246358754551,,u,0.130060436824392,1.51382517704875,0.948683298050514,1.08653373420044,-4.6,0.894427190999916,-4.6,-0.391489361702128,-0.404255319148936,51,4.6,4.6,4.75,low_counter,yes,11.75,1.51382517704875,7.8036262094635
fish78,low,25/03/2021,6.6,16:11:30,16:14:13,00:02:43,dir_change,stable,counter,6.8,6.7,6.7,16,farmed_loch,fish78,2.599863546179,0.93179421440726,,t,0.0299833918978887,0.632455532033676,0.483045891539648,0.483045891539648,6.7,0.483045891539648,6.7,0.985294117647059,0.985294117647059,163,6.7,6.7,6.7,low_counter,yes,6.8,0.632455532033676,1.79900351387332
fish80,low,25/03/2021,6.6,17:10:25,17:11:04,00:00:39,dir_change,stable,counter,15.7,-4.9,-10.55,16,farmed_loch,fish80,0.0272709445407785,0.12021415881659,,b,0.188170087333653,5.53875236653326,0.724568837309472,2.02484567313166,-5.6,0.894427190999916,-5.6,-0.356687898089172,-0.312101910828025,39,5.6,5.6,4.9,low_counter,yes,15.7,5.53875236653326,11.2902052400192
fish81,low,25/03/2021,6.6,17:43:11,17:43:51,00:00:40,dir_change,stable,clock,15.7,-5.6,-10.55,16,farmed_loch,fish81,0.215035019299288,0.0515241166804172,,b,0.0203151433682908,5.53875236653326,0.724568837309472,1.17378779077727,-5.6,0.894427190999916,-5.6,-0.356687898089172,-0.356687898089172,40,5.6,5.6,5.6,low_clock,yes,15.7,5.53875236653326,1.21890860209745
fish84,high,27/03/2021,6.6,10:35:41,10:36:16,00:00:35,dir_change,dir change,clock,10.9,-10.3,-14.2,16,farmed_loch,fish84,0.202063417469264,0.860779497373258,,o6,0.0820712972840901,1.66332999331662,0.632455532033676,2.05750658160146,-9.6,1.51657508881031,-9.6,-0.880733944954128,-0.944954128440367,35,9.6,9.6,10.3,high_clock,yes,10.9,1.66332999331662,4.92427783704541
fish85,high,27/03/2021,6.6,11:03:58,11:10:12,00:06:14,swim_off,swims off,counter,19.1,-7.1,-7.1,16,farmed_loch,fish85,2.51608182171568,0.0073994246705231,,o19,0.0767153613174516,2.02484567313166,3.28125992061992,3.28125992061992,-7.1,3.28125992061992,-7.1,-0.371727748691099,-0.371727748691099,374,7.1,7.1,7.1,high_counter,dk,19.1,2.02484567313166,4.60292167904709
fish86,high,27/03/2021,6.6,11:32:15,11:32:35,00:00:20,dir_change,dir change,clock,19.6,7,-15.3,16,farmed_loch,fish86,1.8842851221776,0.393007743472357,,o17,0.0341238747984817,1.42984070596848,1.25166555703457,5.43650214343336,3,1.22474487139159,3,0.153061224489796,0.357142857142857,20,3,3,7,high_clock,yes,19.6,1.42984070596848,2.0474324879089
fish87,high,27/03/2021,6.6,11:59:02,11:59:40,00:00:38,dir_change,dir change,counter,19.1,-3.4,-7.1,16,farmed_loch,fish87,2.52330135553534,0.0425688593826706,,o19,0.0747118794792475,2.02484567313166,3.28125992061992,2.87518115371304,-5.2,2.04939015319192,-5.2,-0.272251308900524,-0.178010471204188,38,5.2,5.2,3.4,high_counter,yes,19.1,2.02484567313166,4.48271276875485
fish88,high,27/03/2021,6.6,12:33:10,12:33:28,00:00:18,dir_change,dir change,clock,17,8.4,-21.6,16,farmed_loch,fish88,2.77983246209684,0.181384907701671,,o12,0.0782880570782983,1.82574185835055,0.699205898780101,8.59198593005262,6.8,7.66159252375118,6.8,0.4,0.494117647058824,18,6.8,6.8,8.4,high_clock,yes,17,1.82574185835055,4.6972834246979
fish90,high,27/03/2021,6.6,13:28:21,13:28:43,00:00:22,dir_change,dir change,clock,19.6,3.9,-14.3,16,farmed_loch,fish90,0.781921250328657,0.0789389087127569,,o3,0.0350814984665453,2.54732975660571,0.823272602348565,3.95671019352638,2.6,1.51657508881031,2.6,0.13265306122449,0.198979591836735,22,2.6,2.6,3.9,high_clock,yes,19.6,2.54732975660571,2.10488990799272
fish91,high,27/03/2021,6.6,13:58:18,13:58:57,00:00:39,dir_change,beta,counter,20.2,-8.05,-9.6,16,farmed_loch,fish91,1.76234340549876,0.0995407259089068,,h9,0.0927801070368864,2.86937856222098,2.07899548393502,1.8020050561034,-9.1,1.24498995979887,-9.1,-0.45049504950495,-0.398514851485149,39,9.1,9.1,8.05,high_counter,yes,20.2,2.86937856222098,5.56680642221318
fish92,high,27/03/2021,6.6,14:32:35,14:33:05,00:00:30,swim_off,swim off,clock,-14.6,-2.95,7.45,16,farmed_loch,fish92,0.162921262675625,0.945397051577909,,h27,0.0482524757172947,0.459468291736341,3.02260005808097,2.4318488622628,-3.4,2.19089023002066,-3.4,0.232876712328767,0.202054794520548,30,3.4,3.4,2.95,high_clock,dk,14.6,0.459468291736341,2.89514854303768
fish93,high,27/03/2021,6.6,15:03:53,15:05:25,00:01:32,dir_change,dir change,counter,16.7,-9.5,-10.8,16,farmed_loch,fish93,1.34388716452752,0.0626612254839347,,o9,0.0807468413260913,2.79085809185793,2.04396129556745,1.35400640077266,-10.4,0.547722557505166,-10.4,-0.622754491017964,-0.568862275449102,92,10.4,10.4,9.5,high_counter,yes,16.7,2.79085809185793,4.84481047956548
fish94,high,27/03/2021,6.6,15:43:15,15:44:14,00:00:59,swim_off,swim off,clock,18.7,-12.9,-13.6,16,farmed_loch,fish94,1.48147980067535,0.0693589969679533,,o10,0.142982401641482,2.75075747143703,1.50554530541816,1.72884033065199,-13.2,1.92353840616713,-13.2,-0.705882352941176,-0.689839572192513,59,13.2,13.2,12.9,high_clock,dk,18.7,2.75075747143703,8.57894409848895
fish95,high,27/03/2021,6.6,16:10:40,16:11:35,00:00:55,dir_change,beta,counter,17.7,-15.6,-21.1,16,farmed_loch,fish95,2.61808363953518,0.10410822809135,,o18,0.0676769283798874,2.26323269290239,0.567646212197547,1.50554530541816,-15.4,1.94935886896179,-15.4,-0.870056497175141,-0.88135593220339,55,15.4,15.4,15.6,high_counter,yes,17.7,2.26323269290239,4.06061570279324
farmed98,high,28/03/2021,6.7,13:18:24,13:19:36,00:01:12,swim_off,swim off,counter,9.1,-13.2,-13.3,16,farmed_loch,farmed98,0.802790492625163,0.918085827497856,,o4,0.079639921435547,2.23358207570013,0.483045891539648,1.03279555898864,-12.6,0.894427190999916,-12.6,-1.38461538461538,-1.45054945054945,72,12.6,12.6,13.2,high_counter,dk,9.1,2.23358207570013,4.77839528613282
